# index, _pos
650,"array([16.58328149, -6.41831656])"
651,"array([17.4863936 , -5.83120513])"
652,"array([17.2798348 , -3.32337714])"
653,"array([  6.45689822, -19.80002731])"
654,"array([  5.92058025, -18.48399118])"
655,"array([  6.20335696, -18.77851916])"
656,"array([  6.41770525, -20.85115699])"
657,"array([  7.10590111, -21.44113762])"
658,"array([  4.75721909, -19.93115023])"
659,"array([  7.1760426 , -19.12443296])"
660,"array([  7.22492629, -18.33545966])"
661,"array([  7.37381416, -18.73657629])"
662,"array([  6.20466637, -18.12011481])"
663,"array([  6.8329689 , -18.24963588])"
664,"array([  6.97339971, -18.70263182])"
665,"array([  6.67119614, -21.26334288])"
666,"array([  6.7508793 , -19.01870137])"
667,"array([  4.90860946, -20.40268455])"
668,"array([  5.08093461, -19.6256175 ])"
669,"array([  6.25671966, -21.25002579])"
670,"array([  6.66174424, -20.49337392])"
671,"array([  5.98987464, -20.56870051])"
672,"array([  7.050945  , -20.36453438])"
673,"array([  5.35834986, -20.10951275])"
674,"array([  7.4201479 , -20.84179025])"
675,"array([  6.60161488, -18.58033136])"
676,"array([  7.98529522, -20.7262957 ])"
677,"array([  5.3271293 , -16.77061607])"
678,"array([  7.62580027, -20.35169387])"
679,"array([  6.08708937, -19.50073518])"
680,"array([  6.77883701, -19.65553969])"
681,"array([  5.5082312 , -19.73529069])"
682,"array([  5.40558989, -20.55526948])"
683,"array([  9.62754979, -19.82521009])"
684,"array([  5.17168804, -18.31336697])"
685,"array([  6.11053126, -20.22488554])"
686,"array([  6.42028995, -19.46731429])"
687,"array([  6.91241524, -20.85208559])"
688,"array([7.16260974, 8.93183177])"
689,"array([7.22172959, 7.12823834])"
690,"array([-19.5906106 ,  14.87992295])"
691,"array([-18.70900189,  15.18571589])"
692,"array([-27.87826052,  14.80943236])"
693,"array([-27.57794506,  15.58408497])"
694,"array([-27.10476414,  14.50039514])"
695,"array([-26.79664427,  15.27935126])"
696,"array([  9.29866601, -11.38209489])"
697,"array([ 5.4612345 , -5.26191465])"
698,"array([ 8.13343852, -2.68017358])"
699,"array([ 6.86990837, -2.92191614])"
700,"array([ 9.36759276, -2.97087211])"
701,"array([10.73609018, -3.94517018])"
702,"array([ 17.19223715, -28.63129548])"
703,"array([ 17.86366962, -29.00996506])"
704,"array([30.07665322, 25.22445662])"
705,"array([30.98017987, 25.44040994])"
706,"array([30.72531613, 24.54122321])"
707,"array([ 0.49337373, -9.78344267])"
708,"array([-0.8577594 , -9.73327229])"
709,"array([ 1.91175082, -9.997563  ])"
710,"array([  0.2223816 , -10.99011179])"
711,"array([ 18.7069563 , -26.26645675])"
712,"array([ 15.7493673 , -26.47833153])"
713,"array([ 0.59415515, 27.13806175])"
714,"array([ 0.94525583, 27.64858195])"
715,"array([-0.08474836, 27.06143651])"
716,"array([ 0.68285865, 28.86216881])"
717,"array([ 1.09486945, 28.22288565])"
718,"array([-2.80825785, 23.57016681])"
719,"array([26.57524651, 28.15467754])"
720,"array([26.4665127 , 27.05576042])"
721,"array([26.47746984, 29.46469214])"
722,"array([25.75146841, 28.66399784])"
723,"array([27.33281434, 27.35561385])"
724,"array([-25.58629628, -11.3213245 ])"
725,"array([-26.30133508, -12.03188201])"
726,"array([-25.5330886 , -12.35490348])"
727,"array([ 37.00551196, -14.15376844])"
728,"array([ 37.28547239, -15.0705281 ])"
729,"array([ 14.87444907, -21.48019631])"
730,"array([ 14.25270392, -22.34091127])"
731,"array([ 13.6764809 , -22.31722477])"
732,"array([11.98228909, 25.60722826])"
733,"array([11.60271087, 26.70941059])"
734,"array([11.34920547, 25.39010181])"
735,"array([11.46949627, 26.0485499 ])"
736,"array([12.11092676, 26.2696079 ])"
737,"array([10.84622168, 25.83089388])"
738,"array([10.96893428, 26.48934048])"
739,"array([ 11.18028674, -22.48427751])"
740,"array([ 10.58132564, -19.89434744])"
741,"array([ 10.43909513, -21.19348432])"
742,"array([ 11.53427048, -19.66859365])"
743,"array([ 10.54243531, -21.6053983 ])"
744,"array([ 10.71380037, -22.44319416])"
745,"array([ 10.78564607, -22.06188301])"
746,"array([ 10.32288307, -21.9942234 ])"
747,"array([ 12.11871121, -23.12246251])"
748,"array([ 11.13495252, -19.86268245])"
749,"array([10.51344945, -3.34811966])"
750,"array([11.79285552, -3.61157068])"
751,"array([-14.80549819,  -9.55917423])"
752,"array([-13.25843576, -10.25188016])"
753,"array([-14.58759637,  -8.9084714 ])"
754,"array([-15.21746029, -10.18454709])"
755,"array([-15.30798049,  -9.69524184])"
756,"array([-15.68115734,  -9.23493205])"
757,"array([-14.24104541,  -9.29379052])"
758,"array([-15.08459409,  -9.07661203])"
759,"array([-14.32988592,  -9.83244093])"
760,"array([-14.71273149, -10.21015773])"
761,"array([-13.48863025,  22.42796149])"
762,"array([20.10365936, 15.47024792])"
763,"array([19.61012734, 16.28430132])"
764,"array([ 4.31898052, -8.71101432])"
765,"array([ 6.54757355, -8.09179132])"
766,"array([ 5.48015569, -7.62700116])"
767,"array([ 3.30339077, -8.57049338])"
768,"array([ 14.40983958, -15.52316089])"
769,"array([ 13.39932431, -17.07966528])"
770,"array([ 14.97961709, -13.56816712])"
771,"array([ 15.01443856, -15.77242683])"
772,"array([ 13.05767937, -13.28067806])"
773,"array([ 13.22343935, -12.20144511])"
774,"array([ 13.32810389, -14.07941852])"
775,"array([ 13.40263785, -13.58736063])"
776,"array([ 13.62457548, -13.1754381 ])"
777,"array([ 14.10432016, -12.8965144 ])"
778,"array([ 14.03133623, -13.46440673])"
779,"array([ 12.81228111, -12.19859252])"
780,"array([ 13.80387487, -12.16891841])"
781,"array([ 14.00157705, -13.9349793 ])"
782,"array([  4.83020144, -46.78545752])"
783,"array([  3.89506379, -46.92620431])"
784,"array([20.52254158, -0.90606246])"
785,"array([ 44.09304695, -17.69460606])"
786,"array([ 44.79977083, -16.97787942])"
787,"array([ 45.08541394, -17.84304935])"
788,"array([  8.44480123, -23.69573094])"
789,"array([  8.15280685, -24.86619762])"
790,"array([  9.17247839, -24.36014285])"
791,"array([  8.65542207, -24.15340709])"
792,"array([  9.06996135, -23.15483685])"
793,"array([  9.79658609, -22.13285012])"
794,"array([  8.80195321, -22.7514178 ])"
795,"array([  9.07480596, -23.79250211])"
796,"array([  9.58680209, -24.06823412])"
797,"array([  9.92689137, -23.28554002])"
798,"array([-16.21226775, -34.49357429])"
799,"array([-15.84700299, -35.44362314])"
800,"array([-15.22886763, -34.73559602])"
801,"array([-16.98038823, -33.83130208])"
802,"array([ 5.58769966, -2.26707076])"
803,"array([ 5.83102707, -1.77589263])"
804,"array([ 4.66092597, -3.95420953])"
805,"array([ 8.52206299, -0.42343381])"
806,"array([ 8.90496806, -1.57206431])"
807,"array([10.15617136, -4.08656716])"
808,"array([ 6.24364655, -1.23578845])"
809,"array([ 6.20425259, -2.11807125])"
810,"array([ 6.60091045, -1.60973635])"
811,"array([ 7.01100463, -1.14003121])"
812,"array([ 8.52765986, -2.95760029])"
813,"array([-23.30100149,   7.54196773])"
814,"array([-23.34471112,   8.5755067 ])"
815,"array([21.38996447, 19.75683718])"
816,"array([21.35068873, 20.68715697])"
817,"array([  9.15422272, -16.19945709])"
818,"array([  8.76577428, -16.79693866])"
819,"array([13.42034063, -9.05292234])"
820,"array([-18.44160784,   4.73704922])"
821,"array([-17.63044661,   4.24370026])"
822,"array([10.39222688, -4.71356149])"
823,"array([ 8.91711444, -3.34418402])"
824,"array([-31.75029881,   8.46657434])"
825,"array([-32.61210942,   8.03860049])"
826,"array([ 7.60891927, -9.29044708])"
827,"array([ 7.83673744, -8.37573089])"
828,"array([ 7.46001531, -8.05732628])"
829,"array([ 7.34128019, -7.44833409])"
830,"array([ 7.06081206, -7.69865907])"
831,"array([-16.99679358,  26.68873419])"
832,"array([-17.80885096,  25.84577031])"
833,"array([-18.15785588,  26.474727  ])"
834,"array([-17.08361234,  25.99133925])"
835,"array([-16.086783  ,  26.20158788])"
836,"array([-17.69638851,  27.00062424])"
837,"array([ 15.87101773, -14.63481879])"
838,"array([ 15.13203829, -14.9621618 ])"
839,"array([ 18.83149886, -14.23638221])"
840,"array([ 14.01440463, -10.14322604])"
841,"array([ -1.54866704, -10.88157649])"
842,"array([ -2.35850828, -11.76881919])"
843,"array([ -2.07581042, -10.39627928])"
844,"array([ -0.5449588, -11.3391638])"
845,"array([-10.35471523, -11.55627288])"
846,"array([ -9.01890848, -12.14496834])"
847,"array([ -9.35574276, -13.48664459])"
848,"array([ -9.91474628, -12.95668088])"
849,"array([ -9.32395127, -12.36910002])"
850,"array([ -9.35738187, -11.97410199])"
851,"array([ -9.66403779, -12.24604065])"
852,"array([ -9.23328743, -11.6491227 ])"
853,"array([ -8.13205016, -12.05305209])"
854,"array([ -8.88420283, -11.77749868])"
855,"array([ -9.82058842, -11.87550696])"
856,"array([ 21.24376854, -42.26474374])"
857,"array([ 22.06470304, -42.75209291])"
858,"array([ 21.23922023, -43.21962032])"
859,"array([ 10.62708833, -22.82536225])"
860,"array([  9.87546995, -22.58752692])"
861,"array([ 10.17030502, -22.9383371 ])"
862,"array([ 11.09785203, -22.93005368])"
863,"array([ 10.68422909, -23.22795107])"
864,"array([ 10.25652865, -22.48804288])"
865,"array([-1.52595457,  5.78743561])"
866,"array([ 8.36491547, -4.24129003])"
867,"array([ 8.42019281, -5.01724031])"
868,"array([ 6.71215463, -4.2963539 ])"
869,"array([ 7.1205018 , -4.20853261])"
870,"array([ 8.32922422, -4.60008983])"
871,"array([4.80099962, 2.53225583])"
872,"array([4.3014188 , 1.41998127])"
873,"array([3.39734715, 2.40247726])"
874,"array([4.43868903, 2.33479857])"
875,"array([4.72032759, 1.57691028])"
876,"array([4.08950156, 2.1408968 ])"
877,"array([3.76089225, 2.62418002])"
878,"array([3.38187506, 3.01656805])"
879,"array([3.83678455, 3.10422294])"
880,"array([4.18617069, 2.73637266])"
881,"array([4.63051803, 2.9664264 ])"
882,"array([4.26513786, 3.20386234])"
883,"array([3.66886466, 2.06109634])"
884,"array([  8.96831565, -20.89340915])"
885,"array([  8.61273515, -21.59894732])"
886,"array([23.07612047,  0.86700283])"
887,"array([12.86209262, -6.63089233])"
888,"array([12.42744908, -6.17184943])"
889,"array([ 12.84557142, -22.65611506])"
890,"array([13.22547944,  1.83201092])"
891,"array([-24.05179109,  -0.67446795])"
892,"array([-24.69205505,   0.04399348])"
893,"array([ 6.23021699, -9.28724181])"
894,"array([ 6.84132722, -8.7652407 ])"
895,"array([ 7.4524512, -9.9025701])"
896,"array([ 7.32718788, -8.80951001])"
897,"array([ 7.24261832, -8.3680618 ])"
898,"array([ 5.62123891, -8.67551162])"
899,"array([  5.78192326, -10.64401906])"
900,"array([ 6.1444525 , -7.84211641])"
901,"array([ 6.87575783, -9.21014187])"
902,"array([ 6.50073973, -8.49407832])"
903,"array([ 7.54785993, -8.33187843])"
904,"array([-2.36104681, -2.46783557])"
905,"array([-3.12471813, -2.31174665])"
906,"array([-14.51525534, -14.49566199])"
907,"array([37.50667996, -6.59535933])"
908,"array([36.84497838, -5.89826487])"
909,"array([ 18.94192524, -29.07461645])"
910,"array([ 15.72471107, -16.91264336])"
911,"array([-5.22332217,  9.63069441])"
912,"array([-3.87076449, 17.48929985])"
913,"array([-3.01414912, 17.46131612])"
914,"array([-3.89215504, 18.25946493])"
915,"array([-3.05227446, 18.39063644])"
916,"array([ 12.52279114, -19.68665366])"
917,"array([ 11.91775394, -20.71781245])"
918,"array([ 12.2065374 , -19.98305525])"
919,"array([ 12.62342622, -20.82387695])"
920,"array([ 12.34108657, -20.50713522])"
921,"array([ 12.949008  , -19.63791196])"
922,"array([ 13.55403026, -20.10567248])"
923,"array([ 12.93768083, -20.08460759])"
924,"array([-13.41178031,  27.5216916 ])"
925,"array([-12.49374162,  27.43002866])"
926,"array([-12.87498944,  28.29071933])"
927,"array([ -8.73050978, -12.81080077])"
928,"array([ -8.30875856, -12.60920215])"
929,"array([ -8.79395665, -13.21792225])"
930,"array([ -8.59675476, -12.01995719])"
931,"array([ -8.57984465, -12.36492764])"
932,"array([ -9.55151071, -13.05452388])"
933,"array([ -8.93318693, -12.49941084])"
934,"array([ -7.42539151, -12.46389224])"
935,"array([ -8.4176312 , -13.00703395])"
936,"array([ -9.12481713, -13.08409346])"
937,"array([ -9.18657653, -12.7487017 ])"
938,"array([ -9.5462511 , -12.66087356])"
939,"array([ -9.30679784, -10.65280398])"
940,"array([-10.11921834,  -9.95813169])"
941,"array([11.223611  , -4.78908194])"
942,"array([ 8.42346306, -7.61172249])"
943,"array([10.83187921, -4.67103556])"
944,"array([33.64968245, 10.02865597])"
945,"array([32.99351667,  9.26545571])"
946,"array([11.73118969,  3.42688392])"
947,"array([12.43864868,  3.30838241])"
948,"array([ 8.81021803, -8.69203878])"
949,"array([ 7.73063354, -8.69916684])"
950,"array([ 8.14303554, -9.14514424])"
951,"array([ 7.21755456, -7.94613738])"
952,"array([ 8.44084332, -7.99999749])"
953,"array([ 8.4474774 , -8.81499335])"
954,"array([ 8.16615297, -7.97429275])"
955,"array([ 8.92005396, -8.27949404])"
956,"array([ 6.89465179, -8.21305845])"
957,"array([ 5.73024674, -9.92495468])"
958,"array([  4.61362103, -12.23730868])"
959,"array([-19.23867997,   8.28031532])"
960,"array([-19.63054472,   9.18949052])"
961,"array([-18.7714818 ,   7.44076246])"
962,"array([ 31.54709711, -37.15793947])"
963,"array([ 32.46549038, -36.88013904])"
964,"array([-25.58279075, -14.33034607])"
965,"array([-24.93703633, -15.29713346])"
966,"array([-26.34735284, -13.27971785])"
967,"array([-24.42384886, -14.06918495])"
968,"array([15.1534642 , -8.65902146])"
969,"array([17.63627278, -8.57292841])"
970,"array([17.27859466, -9.10125217])"
971,"array([16.96396436, -8.59250932])"
972,"array([17.81472031, -9.25763723])"
973,"array([17.31416008, -9.70625336])"
974,"array([16.75405063, -9.3285045 ])"
975,"array([10.44918835, 21.13929406])"
976,"array([ 9.85178093, 20.32467052])"
977,"array([-33.19482151,   4.77856915])"
978,"array([-32.24730351,   4.78076607])"
979,"array([ 35.31794326, -35.04245744])"
980,"array([ 35.72223712, -34.14923496])"
981,"array([-13.65618503,  14.06547512])"
982,"array([-14.22306227,  14.88121197])"
983,"array([ 13.50392728, -24.45058461])"
984,"array([-12.95719433, -38.57178808])"
985,"array([-12.12048641, -38.9956737 ])"
986,"array([-2.46591586, 33.72242543])"
987,"array([-3.04196955, 34.22048622])"
988,"array([ 4.14522958, -6.02453041])"
989,"array([ 7.50368485, -4.41966522])"
990,"array([ 7.52188873, -1.9130194 ])"
991,"array([ 7.7580908 , -3.17533771])"
992,"array([ 6.07936654, -4.81795128])"
993,"array([ 5.00782142, -1.62171213])"
994,"array([13.98275468, 18.14039673])"
995,"array([13.00372044, 18.35588214])"
996,"array([-26.37423571, -28.62993182])"
997,"array([-25.25484887, -28.5397539 ])"
998,"array([-32.92917955,   1.74948653])"
999,"array([-31.97425276,   1.91288001])"
1000,"array([ 3.47742712, 35.01066256])"
1001,"array([ 2.5296023 , 34.87717087])"
1002,"array([ 2.88968587, 35.77597899])"
1003,"array([ 8.9387124 , 31.79671379])"
1004,"array([ 8.17629705, 30.99747552])"
1005,"array([ 6.07976216, -2.80580854])"
1006,"array([-4.9978713 , -9.12008196])"
1007,"array([-3.20213672, -8.94576927])"
1008,"array([-21.81734877, -30.11986706])"
1009,"array([-22.43930023, -30.30670504])"
1010,"array([-22.60786388, -31.00357169])"
1011,"array([-21.85657546, -30.87754616])"
1012,"array([-23.05226427, -30.44777653])"
1013,"array([-22.6329785 , -29.52898837])"
1014,"array([-19.35579478,  13.18233233])"
1015,"array([25.41020996, 15.73158343])"
1016,"array([25.96594937, 14.97344806])"
1017,"array([-9.21583512, -4.65682771])"
1018,"array([-9.1852436 , -3.40282177])"
1019,"array([-9.38994283, -7.34849189])"
1020,"array([-7.32758293, -3.32821732])"
1021,"array([-10.51174476,  -3.39444232])"
1022,"array([ 6.5287982 , -6.80468615])"
1023,"array([ 4.30577288, -5.21161034])"
1024,"array([  3.78938975, -19.21561711])"
1025,"array([  6.52680653, -17.54895518])"
1026,"array([  4.41183476, -17.77025171])"
1027,"array([  1.27338741, -15.14939659])"
1028,"array([  0.79096049, -15.69486149])"
1029,"array([ -0.02155133, -16.95205968])"
1030,"array([  2.63595573, -13.94020938])"
1031,"array([ -0.05060814, -16.22852018])"
1032,"array([ -0.99742413, -24.9387519 ])"
1033,"array([ -1.46970953, -25.32425669])"
1034,"array([ -1.94278621, -24.79396811])"
1035,"array([ -0.78156529, -25.51071737])"
1036,"array([ -0.35868304, -24.12917006])"
1037,"array([ -0.71667951, -26.11667972])"
1038,"array([ -1.40519422, -25.85267199])"
1039,"array([ -0.21216304, -25.5129167 ])"
1040,"array([-10.4278452 , -15.56937998])"
1041,"array([ -9.82147024, -15.73009932])"
1042,"array([ -9.8634135 , -14.92864583])"
1043,"array([-10.50401434, -14.93805414])"
1044,"array([ -9.34238316, -15.30594159])"
1045,"array([-0.95123725,  7.02827785])"
1046,"array([45.63402623,  3.39558221])"
1047,"array([45.93013214,  4.28275751])"
1048,"array([7.81718175, 3.81736981])"
1049,"array([7.97099512, 4.80043463])"
1050,"array([7.37992956, 4.46685766])"
1051,"array([7.91507619, 1.87338172])"
1052,"array([8.56412111, 4.54878244])"
1053,"array([8.35334892, 2.0671389 ])"
1054,"array([  0.29107657, -14.44008553])"
1055,"array([ -5.7900458 , -15.93743513])"
1056,"array([ -5.53890583, -17.15637485])"
1057,"array([-21.57755997, -28.70033203])"
1058,"array([-14.46700937,  31.03193819])"
1059,"array([-13.57758794,  31.36439556])"
1060,"array([12.80999418, -3.62619003])"
1061,"array([11.16507487, -4.25489825])"
1062,"array([13.64305304, -3.20303479])"
1063,"array([-6.00626795, -1.95755448])"
1064,"array([-6.27537549, -2.73053624])"
1065,"array([-4.2987548 , -2.65052162])"
1066,"array([  6.83659194, -22.96157406])"
1067,"array([ -7.35618177, -42.1339531 ])"
1068,"array([ -7.93776281, -42.84576341])"
1069,"array([ -8.33102913, -41.9314565 ])"
1070,"array([ 41.84221087, -25.9274919 ])"
1071,"array([ 41.890996  , -24.70317823])"
1072,"array([ 42.43868679, -24.94889713])"
1073,"array([ 41.5532512 , -25.22319518])"
1074,"array([ 42.57741727, -25.70624106])"
1075,"array([ 46.90283758, -11.85666042])"
1076,"array([ 46.36436799, -12.68056417])"
1077,"array([ 45.97038986, -11.78087907])"
1078,"array([ 6.34211206, -6.27846331])"
1079,"array([16.08933282, 28.7029431 ])"
1080,"array([15.41565924, 29.38143537])"
1081,"array([15.16998398, 28.45529068])"
1082,"array([-3.83772653, -0.9521131 ])"
1083,"array([-5.39150757,  0.91420444])"
1084,"array([-5.77383308,  0.05146701])"
1085,"array([-5.88695707,  0.64999261])"
1086,"array([ -1.04813216, -12.27192289])"
1087,"array([-27.46937551,   2.41184941])"
1088,"array([-28.40125647,   2.56372403])"
1089,"array([ 9.87774743, -3.61176334])"
1090,"array([-2.25569755, 16.66644012])"
1091,"array([-18.23059131,  20.1510232 ])"
1092,"array([-21.97709672,  -3.44242514])"
1093,"array([-22.26131667,  -4.32374744])"
1094,"array([-4.30535352, 10.3651102 ])"
1095,"array([-6.5637129 , 21.26867715])"
1096,"array([ 12.6944544 , -18.72604218])"
1097,"array([  1.38206246, -13.00742547])"
1098,"array([ -0.30686123, -14.01079093])"
1099,"array([  2.40988053, -14.81065766])"
1100,"array([  1.30932487, -12.08133775])"
1101,"array([ 11.00900717, -40.35567701])"
1102,"array([ 11.34909687, -41.25640216])"
1103,"array([ 34.05912349, -28.77919496])"
1104,"array([ 34.53933253, -29.60486374])"
1105,"array([ 15.2051212 , -24.34933176])"
1106,"array([ 18.86840232, -25.50886433])"
1107,"array([27.5237412 , 29.84726142])"
1108,"array([26.91917124, 30.51755649])"
1109,"array([ -4.8160796 , -45.15191252])"
1110,"array([ -4.07387961, -45.73186037])"
1111,"array([ 33.61930518, -18.7438069 ])"
1112,"array([ 33.70865615, -19.68302674])"
1113,"array([-0.15813955, -5.94111895])"
1114,"array([ 1.82538435, -6.19939423])"
1115,"array([  2.35087779, -18.62446141])"
1116,"array([  0.11221653, -19.93299537])"
1117,"array([  1.17476156, -19.63569632])"
1118,"array([ 6.02836401, -3.57044671])"
1119,"array([-20.47758326, -24.64114926])"
1120,"array([-21.33231363, -24.20659729])"
1121,"array([ -0.76459522, -16.82253297])"
1122,"array([ 14.58702985, -20.17855064])"
1123,"array([ 14.12635416, -19.69821095])"
1124,"array([ 42.30282582, -24.03087751])"
1125,"array([ 41.12624634, -24.39977972])"
1126,"array([ -7.62399182, -10.50921364])"
1127,"array([ 19.25870596, -19.64678245])"
1128,"array([  8.55784348, -13.63715497])"
1129,"array([ 10.16674768, -12.52202559])"
1130,"array([  9.6523607 , -12.79353279])"
1131,"array([  9.67364882, -12.24390562])"
1132,"array([  9.15433878, -12.37530159])"
1133,"array([  1.9315947 , -14.26951319])"
1134,"array([ 11.48993796, -24.49101346])"
1135,"array([ 4.16612663, -1.96181654])"
1136,"array([ 2.614021  , -1.68252181])"
1137,"array([ 3.90707315, -2.4769671 ])"
1138,"array([3.52185783e+01, 3.17189837e-02])"
1139,"array([3.42816189e+01, 3.08575593e-02])"
1140,"array([17.2945153 , 17.91526253])"
1141,"array([17.59805373, 18.91505674])"
1142,"array([18.96528535, 26.13534553])"
1143,"array([19.86914737, 26.35380009])"
1144,"array([-1.54065206, -5.82432532])"
1145,"array([-1.55177888, -5.26415436])"
1146,"array([-2.29879504, -4.74386721])"
1147,"array([-1.00600036, -5.31388401])"
1148,"array([-2.82276988, -4.99264848])"
1149,"array([-3.33942464, -5.54674946])"
1150,"array([-2.55523576, -5.58543544])"
1151,"array([0.42375047, 1.37635935])"
1152,"array([ 39.06620404, -30.86869821])"
1153,"array([ 38.11886594, -30.82165659])"
1154,"array([-4.85801113, 25.91674917])"
1155,"array([-5.77448881, 26.44470384])"
1156,"array([33.7351968 ,  3.07417805])"
1157,"array([32.82821527,  2.81200691])"
1158,"array([-11.18449618, -36.36410693])"
1159,"array([-10.26397381, -36.59222681])"
1160,"array([ 0.87411862, -7.66415857])"
1161,"array([ 2.04113047, -7.24366553])"
1162,"array([ 6.34568273, 35.56981895])"
1163,"array([ 6.26968158, 36.53985649])"
1164,"array([39.00607865, 21.77273505])"
1165,"array([38.08083919, 21.98429373])"
1166,"array([38.36705734, 21.09528388])"
1167,"array([13.25653707, -4.68145519])"
1168,"array([ 6.29310681, 31.03919919])"
1169,"array([ 7.19251771, 30.58011963])"
1170,"array([ 7.19558205, 31.47342236])"
1171,"array([-1.38131862, 27.84688854])"
1172,"array([12.63004309, -7.67982991])"
1173,"array([13.0200179 , -7.29931446])"
1174,"array([-15.24685266,  11.68848648])"
1175,"array([-11.27645078,  -6.30348396])"
1176,"array([-10.5209773 ,  -6.63690554])"
1177,"array([-26.04163202, -20.56964253])"
1178,"array([-26.81526238, -21.13989181])"
1179,"array([-9.97820298, 29.10481108])"
1180,"array([-9.21335493, 28.55068831])"
1181,"array([ 15.6051855 , -23.38756728])"
1182,"array([ 15.58119168, -22.05804339])"
1183,"array([ 15.3047353 , -22.98291797])"
1184,"array([ 15.54179254, -21.55928127])"
1185,"array([ 16.17064756, -22.40348132])"
1186,"array([ 15.21716078, -22.41467159])"
1187,"array([ 15.74393409, -22.86936496])"
1188,"array([-28.06638581, -24.77162382])"
1189,"array([-27.25735927, -24.28513799])"
1190,"array([ 5.53486843, -5.74159505])"
1191,"array([  1.50706585, -10.67848896])"
1192,"array([ 5.03368996, -7.28486336])"
1193,"array([ -1.36737455, -11.61397329])"
1194,"array([  0.56756425, -11.62016405])"
1195,"array([  2.06864605, -12.76355151])"
1196,"array([ 21.25205869, -14.21410757])"
1197,"array([-27.82140245,  -0.29217867])"
1198,"array([-28.68543698,   0.05439366])"
1199,"array([-11.79392077, -15.10499162])"
1200,"array([24.28462735, -0.36089874])"
1201,"array([48.40620311,  2.34000822])"
1202,"array([48.11005535,  1.41756344])"
1203,"array([-6.60693089,  1.27425156])"
1204,"array([-6.84871524,  0.63833898])"
1205,"array([  3.20203218, -38.00061367])"
1206,"array([  2.28809903, -37.76659161])"
1207,"array([ 4.70959785, -6.63155074])"
1208,"array([12.83153552, -5.29393938])"
1209,"array([ 8.91492722, 30.15916053])"
1210,"array([-6.22406888,  2.0685047 ])"
1211,"array([ -9.14982592, -41.27163957])"
1212,"array([ 16.49783122, -10.59563833])"
1213,"array([14.49484145, -9.55018142])"
1214,"array([ 8.56761128, -9.99695411])"
1215,"array([46.80796429, -4.90726577])"
1216,"array([48.07732083, -5.28557413])"
1217,"array([47.3882776 , -5.22627792])"
1218,"array([48.03155126, -4.48481427])"
1219,"array([46.89763771, -5.75066793])"
1220,"array([47.67047045, -5.71657837])"
1221,"array([47.3259004 , -4.51104405])"
1222,"array([ -0.46127674, -13.09806437])"
1223,"array([-24.81602333, -27.74043273])"
1224,"array([-23.93071885, -28.48426358])"
1225,"array([15.54504314, 34.01310073])"
1226,"array([15.76275472, 32.98389488])"
1227,"array([15.43768828, 35.00090959])"
1228,"array([ 39.9473289, -11.9623787])"
1229,"array([ 39.55866872, -10.78874819])"
1230,"array([ 40.31129182, -10.72153649])"
1231,"array([ 40.68945301, -11.4974493 ])"
1232,"array([ 39.33579758, -11.50034877])"
1233,"array([ 40.00800388, -11.31492098])"
1234,"array([ -9.52396144, -22.77566328])"
1235,"array([ -8.65362535, -21.58724098])"
1236,"array([14.71100546, -0.82045094])"
1237,"array([16.5103871 ,  0.40712215])"
1238,"array([ -2.59254775, -11.07365978])"
1239,"array([ -0.20022105, -11.8876356 ])"
1240,"array([  3.3999095 , -12.88724114])"
1241,"array([41.31697792,  8.01478759])"
1242,"array([40.56569641,  8.57357459])"
1243,"array([ 14.03176488, -17.43597164])"
1244,"array([24.88846312, 18.85430656])"
1245,"array([24.17807688, 19.45121711])"
1246,"array([ -7.03621807, -38.33673507])"
1247,"array([ -7.96881606, -38.2947379 ])"
1248,"array([ 29.13071454, -39.156216  ])"
1249,"array([ 29.1458689 , -40.10848319])"
1250,"array([38.11537972,  2.46928042])"
1251,"array([37.36326421,  2.14095585])"
1252,"array([37.791929  ,  3.21923392])"
1253,"array([37.03071497,  2.89866721])"
1254,"array([ 11.58482463, -11.5874325 ])"
1255,"array([12.34907817, 35.42304676])"
1256,"array([12.05595319, 34.47930499])"
1257,"array([26.12305393, 21.72959626])"
1258,"array([26.63923737, 20.95610239])"
1259,"array([ 19.71171747, -17.06587239])"
1260,"array([ 19.23949004, -16.50489446])"
1261,"array([-11.84311657,  16.73496949])"
1262,"array([-10.93280618,  16.62002241])"
1263,"array([  1.62344721, -16.65059237])"
1264,"array([  1.69140026, -20.48357407])"
1265,"array([  0.11488462, -18.70046061])"
1266,"array([ 40.37933853, -20.47644292])"
1267,"array([ 41.23324445, -20.03350348])"
1268,"array([ 9.72019347, -4.14952668])"
1269,"array([-0.78164471,  6.26307629])"
1270,"array([ 5.14424632, 24.76674794])"
1271,"array([ 6.18908206, 24.54567465])"
1272,"array([ 5.21076944, 23.74080854])"
1273,"array([ 1.14079848, -5.52612996])"
1274,"array([ 36.12196141, -33.22681279])"
1275,"array([ 1.14778906, 22.65721513])"
1276,"array([ 1.77916238, 23.36851897])"
1277,"array([ 21.60284068, -11.80246953])"
1278,"array([ 17.96627946, -12.07817351])"
1279,"array([ 23.19234073, -12.63702114])"
1280,"array([ 22.99573165, -10.73942765])"
1281,"array([ 22.92642047, -11.70795753])"
1282,"array([ 23.68160975, -11.65288209])"
1283,"array([ 9.51072371, -1.45262032])"
1284,"array([ 2.78017244, -7.37228095])"
1285,"array([-1.73992493, -3.21041324])"
